date,title,doi,authors,journal,short_journal,volume,year,publisher,issue,page,abstract
2021-09-27,Sustainable Innovations in the Food Industry through Artificial Intelligence and Big Data Analytics,10.3390/logistics5040066,"[{'author_name': 'Saurabh Sharma', 'author_slug': 'saurabh-sharma-R5VRXN', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Vijay Kumar Gahlawat', 'author_slug': 'vijay-kumar-gahlawat-kvr6ka', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Kumar Rahul', 'author_slug': 'kumar-rahul-px5Kjj', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Rahul S. Mor', 'author_slug': 'rahul-s-mor-9Owgab', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Mohit Malik', 'author_slug': 'mohit-malik-9g8zDk', 'author_sequence_number': '5', 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,5,2021,MDPI AG,4,66,"The agri-food sector is an endless source of expansion for nourishing a vast population, but there is a considerable need to develop high-standard procedures through intelligent and innovative technologies, such as artificial intelligence (AI) and big data. This paper addresses the research concerning AI and big data analytics in the food industry, including machine learning, artificial neural networks (ANNs), and various algorithms. Logistics, supply chain, marketing, and production patterns are covered along with food sub-sector applications for artificial intelligence techniques. It is found that utilization of AI techniques and the intelligent optimization algorithm also leads to significant process and production management. Thus, digital technologies are a boon for the food industry, where AI and big data have enabled us to achieve optimum results in realtime."
2024-06-03,Fog Computing and Industry 4.0 for Newsvendor Inventory Model Using Attention Mechanism and Gated Recurrent Unit,10.3390/logistics8020056,"[{'author_name': 'Joaquin Gonzalez', 'author_slug': 'Joaquin Gonzalez', 'author_sequence_number': None, 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,8,2024,MDPI AG,2,56,"Background: Efficient inventory management is critical for sustainability in supply chains. However, maintaining adequate inventory levels becomes challenging in the face of unpredictable demand patterns. Furthermore, the need to disseminate demand-related information throughout a company often relies on cloud services. However, this method sometimes encounters issues such as limited bandwidth and increased latency. Methods: To address these challenges, our study introduces a system that incorporates a machine learning algorithm to address inventory-related uncertainties arising from demand fluctuations. Our approach involves the use of an attention mechanism for accurate demand prediction. We combine it with the Newsvendor model to determine optimal inventory levels. The system is integrated with fog computing to facilitate the rapid dissemination of information throughout the company. Results: In experiments, we compare the proposed system with the conventional demand estimation approach based on historical data and observe that the proposed system consistently outperformed the conventional approach. Conclusions: This research introduces an inventory management system based on a novel deep learning architecture that integrates the attention mechanism with cloud computing to address the Newsvendor problem. Experiments demonstrate the better accuracy of this system in comparison to existing methods. More studies should be conducted to explore its applicability to other demand modeling scenarios."
2023-09-13,Transformative Procurement Trends: Integrating Industry 4.0 Technologies for Enhanced Procurement Processes,10.3390/logistics7030063,"[{'author_name': 'Areej Althabatah', 'author_slug': 'Areej Althabatah', 'author_sequence_number': None, 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,7,2023,MDPI AG,3,63,"Background: the advent of Industry 4.0 (I4.0) innovations has revolutionized supply chain management through technologies like the Internet of Things (IoT) and Artificial Intelligence (AI) integrated into procurement processes. Methods: this study addresses a critical knowledge gap by conducting a comprehensive review of 111 papers sourced from the Scopus database. These papers are classified into seven sub-themes encompassing I4.0 or procurement 4.0 (P4.0), big data, IoT, additive manufacturing, blockchain, e-procurement, and AI. Results: the investigation reveals that I4.0 technologies, particularly e-procurement and blockchain, have garnered substantial attention. Such technologies offer diverse value propositions, encompassing streamlined supplier evaluation, lead time reduction, cost optimization, and enhanced data security. Conclusion: the paper underscores pivotal trends and insights for the evolution of Procurement 4.0, illuminating a path toward more efficient supply chain management."
2021-09-08,A Systematic Investigation of the Integration of Machine Learning into Supply Chain Risk Management,10.3390/logistics5030062,"[{'author_name': 'Meike Schroeder', 'author_slug': 'meike-schroeder-KlX9ee', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Sebastian Lodemann', 'author_slug': 'sebastian-lodemann-Wny6bN', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,5,2021,MDPI AG,3,62,"The main objective of the paper is to analyze and synthesize existing scientific literature related to supply chain areas where machine learning (ML) has already been implemented within the supply chain risk management (SCRM) field, both in theory and in practice. Furthermore, we analyzed which risks were addressed in the use cases as well as how ML might shape SCRM. For this purpose, we conducted a systematic literature review. The results showed that the applied examples relate primarily to the early identification of production, transport, and supply risks in order to counteract potential supply chain problems quickly. Through the analyzed case studies, we were able to identify the added value that ML integration can bring to the SCRM (e.g., the integration of new data sources such as social media or weather data). From the systematic literature analysis results, we developed four propositions, which can be used as motivation for further research."
2022-08-17,Toward a Modern Last-Mile Delivery: Consequences and Obstacles of Intelligent Technology,10.3390/asi5040082,"[{'author_name': 'Shahryar Sorooshian', 'author_slug': 'shahryar-sorooshian-ZGKeYp', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Shila Khademi Sharifabad', 'author_slug': 'shila-khademi-sharifabad-ejg3AZ', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Mehrdad Parsaee', 'author_slug': 'mehrdad-parsaee-G63Yb6', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Ali Reza Afshari', 'author_slug': 'ali-reza-afshari-M2p0g9', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}]",Applied System Innovation,ASI,5,2022,MDPI AG,4,82,"Last-mile delivery (LMD) is essential in supply chains, and providers of logistics services are aware that they must adapt to changing customer and society expectations, competition challenges, and modern technologies. In light of the importance of artificial intelligence (AI) in modern technologies, this article employed a narrative literature review to recognize impacts of AI-powered technologies that aid in optimizing the LMD component. For this study, two possible classes of technologies were considered: tangible technologies, such as robots, drones, and autonomous vehicles, and intangible technologies, such as decision support tools and operating systems. Thus, this article frames potential developments in modern LMD, taking into account the fact that technological advancement brings both opportunities and challenges. According to this literature review, the modern version of LMD is capable of providing services that are both more productive and more sustainable, thus satisfying demands for better services. Last but not least, another goal of this article was to look into the challenges that limit the benefits of modern LMDs. Finally, suggestions are provided as a resource for practitioners and policymakers working in the supply chain to improve performance."
2021-11-26,Digital Twin Integrated Reinforced Learning in Supply Chain and Logistics,10.3390/logistics5040084,"[{'author_name': 'Ahmed Zainul Abideen', 'author_slug': 'ahmed-zainul-abideen-OjbZkO', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Veera Pandiyan Kaliani Sundram', 'author_slug': 'veera-pandiyan-kaliani-sundram-yZVmJp', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Jaafar Pyeman', 'author_slug': 'jaafar-pyeman-lQ1ler', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Abdul Kadir Othman', 'author_slug': 'abdul-kadir-othman-9bNajG', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Shahryar Sorooshian', 'author_slug': 'shahryar-sorooshian-ZGKeYp', 'author_sequence_number': '5', 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,5,2021,MDPI AG,4,84,"Background: As the Internet of Things (IoT) has become more prevalent in recent years, digital twins have attracted a lot of attention. A digital twin is a virtual representation that replicates a physical object or process over a period of time. These tools directly assist in reducing the manufacturing and supply chain lead time to produce a lean, flexible, and smart production and supply chain setting. Recently, reinforced machine learning has been introduced in production and logistics systems to build prescriptive decision support platforms to create a combination of lean, smart, and agile production setup. Therefore, there is a need to cumulatively arrange and systematize the past research done in this area to get a better understanding of the current trend and future research directions from the perspective of Industry 4.0. Methods: Strict keyword selection, search strategy, and exclusion criteria were applied in the Scopus database (2010 to 2021) to systematize the literature. Results: The findings are snowballed as a systematic review and later the final data set has been conducted to understand the intensity and relevance of research work done in different subsections related to the context of the research agenda proposed. Conclusion: A framework for data-driven digital twin generation and reinforced learning has been proposed at the end of the paper along with a research paradigm."
2021-02-16,Machine learning‐based scheduling: a bibliometric perspective,10.1049/cim2.12004,"[{'author_name': 'Shiyun Li', 'author_slug': 'shiyun-li-8geAmm', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Tianzong Yu', 'author_slug': 'tianzong-yu-VXdyE', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Xu Cao', 'author_slug': 'xu-cao-PQZyN2', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Zhi Pei', 'author_slug': 'zhi-pei-M2QNO9', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Wenchao Yi', 'author_slug': 'wenchao-yi-ePvvkO', 'author_sequence_number': '5', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Yong Chen', 'author_slug': 'yong-chen-ANWR9j', 'author_sequence_number': '6', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Ruifeng Lv', 'author_slug': 'ruifeng-lv-PvRVbR', 'author_sequence_number': '7', 'affiliation': None, 'affiliation_slug': None}]",Iet Collaborative Intelligent Manufacturing,IET Collab Intel Manufact,3,2021,Institution of Engineering and Technology (IET),2,131-146,"In recent years, the rapid development of artificial intelligence and data science has given rise to the study of data driven algorithms in highly volatile systems. The scheduling of complex shop floor resources falls into such a category, which is often non‐linear in nature, time varying, multi‐objective, and subject to interruptions. Ergo, the machine learning‐based scheduling, has become a research hotspot and attracted the attention of many scholars. In the literature, the research methods employed in solving scheduling problems are based on various perspectives, such as mathematical programming, combinatorial optimization, and heuristic rules. However, due to the inherent complexity of the problem, many issues remain to be addressed. In particular, with the availability of production data, the progress of computing power, and the breakthrough in intelligent algorithms, a novel branch of data driven algorithms present great potential, for example, the deep learning and reinforcement learning‐based algorithms. To reveal the value of machine learning‐based scheduling methods, bibliometric analysis was conducted to analyse the relevant articles and documents from the year 1980 to 2019. Finally, the future research trend in the domain of machine learning‐based scheduling is considered and tips are provided for researchers as well as practitioners to find leading scientists for collaborations."
2022-02-01,Big Data Analytics in Supply Chain Management: A Systematic Literature Review and Research Directions,10.3390/bdcc6010017,"[{'author_name': 'In Lee', 'author_slug': 'in-lee-3M91ZZ', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'George Mangalaraj', 'author_slug': 'george-mangalaraj-9O20lA', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}]",Big Data and Cognitive Computing,BDCC,6,2022,MDPI AG,1,17,"Big data analytics has been successfully used for various business functions, such as accounting, marketing, supply chain, and operations. Currently, along with the recent development in machine learning and computing infrastructure, big data analytics in the supply chain are surging in importance. In light of the great interest and evolving nature of big data analytics in supply chains, this study conducts a systematic review of existing studies in big data analytics. This study presents a framework of a systematic literature review from interdisciplinary perspectives. From the organizational perspective, this study examines the theoretical foundations and research models that explain the sustainability and performances achieved through the use of big data analytics. Then, from the technical perspective, this study analyzes types of big data analytics, techniques, algorithms, and features developed for enhanced supply chain functions. Finally, this study identifies the research gap and suggests future research directions."
2023-01-03,The Impact of Digital Technologies and Sustainable Practices on Circular Supply Chain Management,10.3390/logistics7010001,"[{'author_name': 'Sara Romagnoli', 'author_slug': 'sara-romagnoli-nGGr4', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': ""Claudia Tarabu'"", 'author_slug': 'claudia-tarabu-ezpmp', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Behzad Maleki Vishkaei', 'author_slug': 'behzad-maleki-vishkaei-6JnYwM', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Pietro De Giovanni', 'author_slug': 'pietro-de-giovanni-PQ9aE2', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,7,2023,MDPI AG,1,1,"Background: This study investigates how firms can enhance the functionality of their circular supply chains (CSCs) by adopting a portfolio of sustainable practices as well as digital technologies to increase performance. It analyzes the benefits that firms can obtain when investing in specific technologies to boost the impact of technologies and sustainable practices on CSCs, and further increase performance. Methods: We test several hypotheses by using structural equation modeling as well as multi-group analysis to verify whether CSCs can be achieved through sustainable practices and technologies and improve the firms’ performance. Results: The empirical results partially support the research hypotheses. While the main research hypotheses are fully supported, the analysis of single digital technologies reveals that only a few solutions can contribute to both the management and the improvement of the CSC. Conclusions: Our findings demonstrate that the identification of green suppliers and ad hoc environmental regulations, combined with attention to the origin and provenance of raw materials, can promote a CSC. Moreover, transportation management systems (TMS) and the internet of things (IoT) are efficient technologies for managing transportation and product flow in the CSC. Furthermore, machine learning (ML) is effective in making positive green decisions, and 3D printing can extend product life."
2020-07-25,"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities",10.1186/s40537-020-00329-2,"[{'author_name': 'Seyedeh Mahya Seyedan', 'author_slug': 'seyedeh-mahya-seyedan-OjaaAj', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Fereshteh Mafakheri', 'author_slug': 'fereshteh-mafakheri-A3rYgv', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}]",Journal of Big Data,J Big Data,7,2020,Springer Science and Business Media LLC,1,,"Big data analytics (BDA) in supply chain management (SCM) is receiving a growing attention. This is due to the fact that BDA has a wide range of applications in SCM, including customer behavior analysis, trend analysis, and demand prediction. In this survey, we investigate the predictive BDA applications in supply chain demand forecasting to propose a classification of these applications, identify the gaps, and provide insights for future research. We classify these algorithms and their applications in supply chain management into time-series forecasting, clustering, K-nearest-neighbors, neural networks, regression analysis, support vector machines, and support vector regression. This survey also points to the fact that the literature is particularly lacking on the applications of BDA for demand forecasting in the case of closed-loop supply chains (CLSCs) and accordingly highlights avenues for future research."
