date,title,doi,authors,journal,short_journal,volume,year,publisher,issue,page,abstract
2020-07-25,"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities",10.1186/s40537-020-00329-2,"[{'author_name': 'Seyedeh Mahya Seyedan', 'author_slug': 'seyedeh-mahya-seyedan-OjaaAj', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Fereshteh Mafakheri', 'author_slug': 'fereshteh-mafakheri-A3rYgv', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}]",Journal of Big Data,J Big Data,7,2020,Springer Science and Business Media LLC,1,,"Big data analytics (BDA) in supply chain management (SCM) is receiving a growing attention. This is due to the fact that BDA has a wide range of applications in SCM, including customer behavior analysis, trend analysis, and demand prediction. In this survey, we investigate the predictive BDA applications in supply chain demand forecasting to propose a classification of these applications, identify the gaps, and provide insights for future research. We classify these algorithms and their applications in supply chain management into time-series forecasting, clustering, K-nearest-neighbors, neural networks, regression analysis, support vector machines, and support vector regression. This survey also points to the fact that the literature is particularly lacking on the applications of BDA for demand forecasting in the case of closed-loop supply chains (CLSCs) and accordingly highlights avenues for future research."
2020-02-26,Overcoming Barriers in Supply Chain Analytics—Investigating Measures in LSCM Organizations,10.3390/logistics4010005,"[{'author_name': 'Tino T. Herden', 'author_slug': 'tino-t-herden-Ma120k', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Benjamin Nitsche', 'author_slug': 'benjamin-nitsche-vRWQZ', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Benno Gerlach', 'author_slug': 'benno-gerlach-YXkWgr', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,4,2020,MDPI AG,1,5,"While supply chain analytics shows promise regarding value, benefits, and increase in performance for logistics and supply chain management (LSCM) organizations, those organizations are often either reluctant to invest or unable to achieve the returns they aspire to. This article systematically explores the barriers LSCM organizations experience in employing supply chain analytics that contribute to such reluctance and unachieved returns and measures to overcome these barriers. This article therefore aims to systemize the barriers and measures and allocate measures to barriers in order to provide organizations with directions on how to cope with their individual barriers. By using Grounded Theory through 12 in-depth interviews and Q-Methodology to synthesize the intended results, this article derives core categories for the barriers and measures, and their impacts and relationships are mapped based on empirical evidence from various actors along the supply chain. Resultingly, the article presents the core categories of barriers and measures, including their effect on different phases of the analytics solutions life cycle, the explanation of these effects, and accompanying examples. Finally, to address the intended aim of providing directions to organizations, the article provides recommendations for overcoming the identified barriers in organizations."
2022-11-30,Decision support system for handling control decisions and decision-maker related to supply chain,10.1186/s40537-022-00653-9,"[{'author_name': 'Dimah Alahmadi', 'author_slug': 'dimah-alahmadi-AGbVvO', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Arwa Jamjoom', 'author_slug': 'arwa-jamjoom-nOW26k', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}]",Journal of Big Data,J Big Data,9,2022,Springer Science and Business Media LLC,1,,"Abstract
                Background
                The present study presents a knowledge-based DSS framework for supporting the decision-maker and handling control decisions related to supply chains.
              
                Methods
                Two binary variables were adopted for denoting at which time point a given task $$i$$
                    i
                   starts and finishes. The scheduling issues are represented through the ontological model and appropriately interpreted using the Java environment. Regarding primary data, digital form of administration using google form platform took precedence over physical administration.
              
                Results
                The findings might not be exact replication of the findings from previous studies that are limited to the influence of information and material flow on the performance of supply chain as there are concerns of what factors constitute information and material flow that need to be identified and considered. However, with the finding of associating factors of information and material flow may need to consider this in managing the flow and the supply chain. Associating factors such as information quality, information visibility, material cost, fund shortage and so on, play a role in information and material flow and the decisions made in an organization.
              
                Conclusions
                Factors associating with information and material flow need to be considered in decision making as well, as the cost in any of the elements affects the flow and this would impede supply chain performance of the organization."
2021-09-08,A Systematic Investigation of the Integration of Machine Learning into Supply Chain Risk Management,10.3390/logistics5030062,"[{'author_name': 'Meike Schroeder', 'author_slug': 'meike-schroeder-KlX9ee', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Sebastian Lodemann', 'author_slug': 'sebastian-lodemann-Wny6bN', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,5,2021,MDPI AG,3,62,"The main objective of the paper is to analyze and synthesize existing scientific literature related to supply chain areas where machine learning (ML) has already been implemented within the supply chain risk management (SCRM) field, both in theory and in practice. Furthermore, we analyzed which risks were addressed in the use cases as well as how ML might shape SCRM. For this purpose, we conducted a systematic literature review. The results showed that the applied examples relate primarily to the early identification of production, transport, and supply risks in order to counteract potential supply chain problems quickly. Through the analyzed case studies, we were able to identify the added value that ML integration can bring to the SCRM (e.g., the integration of new data sources such as social media or weather data). From the systematic literature analysis results, we developed four propositions, which can be used as motivation for further research."
2021-07-05,"Disorders, Vulnerabilities and Resilience in the Supply Chain in Pandemic Times",10.3390/logistics5030048,"[{'author_name': 'Catarina Ferreira', 'author_slug': 'catarina-ferreira-JWAGR6', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Catarina Cardoso', 'author_slug': 'catarina-cardoso-R53Yw4', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Mariana Travassos', 'author_slug': 'mariana-travassos-XgMaMD', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Mariana Ferreira de S. M. Paiva', 'author_slug': 'mariana-ferreira-de-s-m-GPeMW6', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'M.L. Pestana', 'author_slug': 'm-l-pestana-9grgrG', 'author_sequence_number': '5', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'João M. Lopes', 'author_slug': 'joao-m-lopes-8gV26Q', 'author_sequence_number': '6', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Márcio Oliveira', 'author_slug': 'marcio-oliveira-R5O4m4', 'author_sequence_number': '7', 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,5,2021,MDPI AG,3,48,"The economic and social environment caused by the COVID-19 pandemic has brought additional pressure on supply chains because they now have more pressure to develop and adapt to a context of economic constraint. Delays in the supply chain can bring consequences such as the lack of food products by retailers, transporters and manufacturers. Thus, this study aims to examine the supply chain during the COVID-19 pandemic in small- and medium-sized food companies in the central region of Portugal, identifying potential problems and pointing out the respective solutions. For this purpose, the study uses a qualitative methodology through semi-structured interviews. It was found that small and medium-sized enterprises (SMEs) do not have a codified supply chain and that generally, these companies have a minimal budget, which requires a constant search for new suppliers that represent a reduction in costs. Moreover, most of the companies surveyed faced unexpected challenges, such as a lack of alternative suppliers. The present paper is original because it studies the supply chain in SMEs in the food sector during the COVID-19 pandemic, and it allows the ascertainment of practical suggestions for these companies to improve, as well as contributing to the clarification of the literature on the supply chain in times of crisis such as the current COVID-19 pandemic."
2024-03-19,Modelling a Logistics and Financial Supply Chain Network during the COVID-19 Era,10.3390/logistics8010032,"[{'author_name': 'Sina Abbasi', 'author_slug': 'Sina Abbasi', 'author_sequence_number': None, 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,8,2024,MDPI AG,1,32,"Background: Supply chain networks (SCNs) have been interrupted by the COVID-19 pandemic, leaving them open to financial losses. SCs have been impacted by the pandemic, necessitating the adoption of sustainable practices and dynamic capacities to ensure resilience and performance. Several studies have focused on this subject, offering insights into the importance of sustainable supply-chain management, corporate governance, big data management activities, and digital technology in minimising the consequences of the pandemic and fostering sustainability. Methods: This study suggests an analytical framework for assessing environmentally friendly procedures and dynamic capacities to assure performance in a disruptive environment. Results: The following are some of the important details and contributions in this article: (1) developed a conceptual framework for assessing dynamic capacities and sustainable behaviours considering COVID-19, (2) concentrates on financial ratios during COVID-19, and (3) established drivers for sustainable practices and competencies during disruption and unpredictable business settings. Conclusions: The suggested model can assist practitioners in creating and implementing sustainable supply chain (SC) activities and tracking and assessing their effects on the sustainability of businesses. So, the proposed model can assist managers in creating and implementing sustainable supply-chain activities and tracking and analysing their effects on the sustainability of businesses."
2021-03-03,Supplier Selection Risk: A New Computer-Based Decision-Making System with Fuzzy Extended AHP,10.3390/logistics5010013,"[{'author_name': 'Marcus Vinicius Carvalho Fagundes', 'author_slug': 'marcus-vinicius-carvalho-fagundes-2DMZE1', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Bernd Hellingrath', 'author_slug': 'bernd-hellingrath-Ojv68P', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Francisco Gaudêncio Mendonça Freires', 'author_slug': 'francisco-gaudencio-mendonca-freires-vyygp4', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,5,2021,MDPI AG,1,13,"Supplier risks have attracted significant attention in the supply chain risk management literature. In this article, we propose a new computational system based on the ‘Fuzzy Extended Analytic Hierarchy Process (FEAHP)’ method for supplier selection while considering the relevant risks. We sought to evaluate the opportunities and limitations of using the FEAHP method in supplier selection and analyzed the support of the system developed through the real case of a Brazilian oil and natural gas company. The computational approach based on FEAHP automates supplier selection by determining a hierarchy of criteria, sub-criteria, and alternatives. First, the criteria and sub-criteria specific to the selection problem were identified by the experts taking the relevant literature as a starting point. Next, the experts performed a pair-wise comparison of the predefined requirements using a linguistic scale. This evaluation was then quantified by calculating the priority weights of criteria, sub-criteria, and alternatives. The best decision alternative is the one with the highest final score. Sensitivity analysis was performed to verify the results of the proposed model. The FEAHP computer approach automated the supplier selection process in a rational, flexible, and agile way, as perceived by the focal company. From this, we hypothesized that using this system can provide helpful insights in choosing the best suppliers in an environment of risk and uncertainty, thereby maximizing supply chain performance."
2022-07-12,Adoption and Influence of Robotic Process Automation in Beef Supply Chains,10.3390/logistics6030048,"[{'author_name': 'Khushboo E-Fatima', 'author_slug': 'khushboo-e-fatima-v9vYa4', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Rasoul Khandan', 'author_slug': 'rasoul-khandan-zbRZWb', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Amin Hosseinian-Far', 'author_slug': 'amin-hosseinian-far-zRMPPb', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Dilshad Sarwar', 'author_slug': 'dilshad-sarwar-6ML4g', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Hareer Fatima Ahmed', 'author_slug': 'hareer-fatima-ahmed-Mz8zmY', 'author_sequence_number': '5', 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,6,2022,MDPI AG,3,48,"This paper aims to critically examine the potential barriers to the implementation and adoption of Robotic Process Automation (RPA) in the beef supply chain. The beef supply chain has been challenging due to its complex processes, activities, and management. The beef industry has relied heavily on the human workforce in the past; however, RPA adoption allows automating tasks that are repetitive and strenuous in nature to enhance beef quality, safety and security. There are considerable potential barriers to RPA adoption as organisations have not focused on trying to eliminate them due to various reasons. Previous studies lack knowledge related to potential barriers to RPA adoption, so this creates a research gap and requires attention. Statistical data and information are extracted using secondary data relevant to RPA adoption in the beef supply chain. A business process model is formed which uses values or variables using existing statistical data and information. Simulation of the process model is carried out using Simul8 software and analyses of different scenarios help in choosing the best approach for RPA adoption. Results have identified the potential barriers in RPA adoption through the simulation process thus ensuring RPA performs with more potential. Analysis of ‘what-if’ scenarios allows organizational and employee-level improvements along with enhancing RPA’s accuracy. The process model is a generic model for use in real-life scenarios and can be modified by organisations according to their own business needs and requirements. The study contributes in theoretical and practical aspects as it allows decision-makers and managers to adopt RPA in a robust manner and adds to scientific knowledge by identification of potential barriers to RPA adoption."
2023-01-03,The Impact of Digital Technologies and Sustainable Practices on Circular Supply Chain Management,10.3390/logistics7010001,"[{'author_name': 'Sara Romagnoli', 'author_slug': 'sara-romagnoli-nGGr4', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': ""Claudia Tarabu'"", 'author_slug': 'claudia-tarabu-ezpmp', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Behzad Maleki Vishkaei', 'author_slug': 'behzad-maleki-vishkaei-6JnYwM', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Pietro De Giovanni', 'author_slug': 'pietro-de-giovanni-PQ9aE2', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,7,2023,MDPI AG,1,1,"Background: This study investigates how firms can enhance the functionality of their circular supply chains (CSCs) by adopting a portfolio of sustainable practices as well as digital technologies to increase performance. It analyzes the benefits that firms can obtain when investing in specific technologies to boost the impact of technologies and sustainable practices on CSCs, and further increase performance. Methods: We test several hypotheses by using structural equation modeling as well as multi-group analysis to verify whether CSCs can be achieved through sustainable practices and technologies and improve the firms’ performance. Results: The empirical results partially support the research hypotheses. While the main research hypotheses are fully supported, the analysis of single digital technologies reveals that only a few solutions can contribute to both the management and the improvement of the CSC. Conclusions: Our findings demonstrate that the identification of green suppliers and ad hoc environmental regulations, combined with attention to the origin and provenance of raw materials, can promote a CSC. Moreover, transportation management systems (TMS) and the internet of things (IoT) are efficient technologies for managing transportation and product flow in the CSC. Furthermore, machine learning (ML) is effective in making positive green decisions, and 3D printing can extend product life."
2023-09-13,Transformative Procurement Trends: Integrating Industry 4.0 Technologies for Enhanced Procurement Processes,10.3390/logistics7030063,"[{'author_name': 'Areej Althabatah', 'author_slug': 'Areej Althabatah', 'author_sequence_number': None, 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,7,2023,MDPI AG,3,63,"Background: the advent of Industry 4.0 (I4.0) innovations has revolutionized supply chain management through technologies like the Internet of Things (IoT) and Artificial Intelligence (AI) integrated into procurement processes. Methods: this study addresses a critical knowledge gap by conducting a comprehensive review of 111 papers sourced from the Scopus database. These papers are classified into seven sub-themes encompassing I4.0 or procurement 4.0 (P4.0), big data, IoT, additive manufacturing, blockchain, e-procurement, and AI. Results: the investigation reveals that I4.0 technologies, particularly e-procurement and blockchain, have garnered substantial attention. Such technologies offer diverse value propositions, encompassing streamlined supplier evaluation, lead time reduction, cost optimization, and enhanced data security. Conclusion: the paper underscores pivotal trends and insights for the evolution of Procurement 4.0, illuminating a path toward more efficient supply chain management."
