date,title,doi,authors,journal,short_journal,volume,year,publisher,issue,page,abstract
2022-03-10,Review of Multi-Criteria Decision-Making Methods in Finance Using Explainable Artificial Intelligence,10.3389/frai.2022.827584,"[{'author_name': 'Jurgita Černevičienė', 'author_slug': 'jurgita-cerneviciene-wOk9V', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Audrius Kabašinskas', 'author_slug': 'audrius-kabasinskas-DZD25j', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}]",Frontiers in Artificial Intelligence,Front. Artif. Intell.,5,2022,Frontiers Media SA,,,"The influence of Artificial Intelligence is growing, as is the need to make it as explainable as possible. Explainability is one of the main obstacles that AI faces today on the way to more practical implementation. In practise, companies need to use models that balance interpretability and accuracy to make more effective decisions, especially in the field of finance. The main advantages of the multi-criteria decision-making principle (MCDM) in financial decision-making are the ability to structure complex evaluation tasks that allow for well-founded financial decisions, the application of quantitative and qualitative criteria in the analysis process, the possibility of transparency of evaluation and the introduction of improved, universal and practical academic methods to the financial decision-making process. This article presents a review and classification of multi-criteria decision-making methods that help to achieve the goal of forthcoming research: to create artificial intelligence-based methods that are explainable, transparent, and interpretable for most investment decision-makers."
2023-06-28,Approaches to Performance Assessment in Reverse Supply Chains: A Systematic Literature Review,10.3390/logistics7030036,"[{'author_name': 'Denilson Ricardo de Lucena Nunes', 'author_slug': 'denilson-ricardo-de-lucena-nunes-3KyV5b', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Daniel Ferreira do Nascimento', 'author_slug': 'daniel-ferreira-do-nascimento-J1bVaa', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'José Matos', 'author_slug': 'jose-matos-r6RyR4', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'André Cristiano Silva Melo', 'author_slug': 'andre-cristiano-silva-melo-Wn8x0M', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Vitor William Batista Martins', 'author_slug': 'vitor-william-batista-martins-bOJXNW', 'author_sequence_number': '5', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Antônio Erlindo Braga Júnior', 'author_slug': 'antonio-erlindo-braga-junior-Xjk0X9', 'author_sequence_number': '6', 'affiliation': None, 'affiliation_slug': None}]",Logistics,Logistics,7,2023,MDPI AG,3,36,"Background: The interest in the topic of performance assessment in reverse supply chains (RSC) is increasing, although the body of research is still in its early stages. As this is a developing field, it is crucial to expand discussions on topics that have not yet been thoroughly examined, such as the intrinsic bias of indicators and metrics that may be associated with specific operational, economic, environmental perspectives, etc. Such perspectives should be considered in the decision-making process within the context of reverse logistics (RL) and waste management (WM). The aim of this research was to identify different perspectives employed in the development of proposed models in the literature. Methods: A systematic literature review was conducted to analyze thirty papers from Scopus, Web of Science, and Science Direct databases without time restrictions. Results: The review identified various ways in which authors grouped perspectives, including qualitative and quantitative, sustainability, and operational perspectives, among others. Conclusions: This study revealed several gaps in the field, including limited studies on RSC performance assessment and a lack of studies linking performance assessment to decision-making components."
2022-02-02,Thematic grouping for messages in major events,10.12821/ijispm040403,"[{'author_name': 'Wallace A. Pinheiro', 'author_slug': 'wallace-a-pinheiro-DmPa8Y', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Ricardo J. Fernandes', 'author_slug': 'ricardo-j-fernandes-G302V1', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}]",International Journal of Information Systems and Project Management,IJISPM,4,2022,University of Minho,4,51-65,"The process of information evaluation may compete with the decision making process by requiring the limited cognitive resources. In the case of Major Events, such as the Football World Cup or the Olympic Games, the thematic grouping of every information may be overwhelming. The theme switching caused by information associated with a different thematic group may be modelled as an interruption in multitasking set-ups. Thus, automating the thematic grouping of information may facilitate the decision making process by reducing the theme switching for a decision maker when he reads a set of messages. In this paper were used clustering techniques with multi-criteria to group the messages in themes. These criteria were implemented as configurable operators. To achieve a better comprehension of those parameters, we introduced the concepts of Thematic Strength (TS) and Thematic Density (TD). The evaluation of the strategy was made over a set of operational messages available in the Pacificador system during the 2014 FIFA World Cup."
2017-07-01,Extrapolative Beliefs in Perceptual and Economic Decisions: Evidence of a Common Mechanism,10.1287/mnsc.2016.2453,"[{'author_name': 'Cary Frydman', 'author_slug': 'cary-frydman-4YZ3AV', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Gideon Nave', 'author_slug': 'gideon-nave-EWwr1j', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}]",Management Science,Management Science,63,2017,Institute for Operations Research and the Management Sciences (INFORMS),7,2340-2352,"A critical component of both economic and perceptual decision making under uncertainty is the beliefformation process. However, most research has studied belief formation in economic and perceptual decision making in isolation. One reason for this separate treatment may be the assumption that there are distinct psychological mechanisms that underlie belief formation in economic and perceptual decisions. An alternative theory is that there exists a common mechanism that governs belief formation in both domains. Here we test this alternative theory by combining a novel computational modeling technique with two wellknown experimental paradigms. We estimate a drift-diffusion model (DDM) and provide an analytical method to decode prior beliefs from DDM parameters. Subjects in our experiment exhibit strong extrapolative beliefs in both paradigms. In line with the common mechanism hypothesis, we find that a single computational model explains belief formation in both tasks and that individual differences in belief formation are correlated across tasks."
2014-12-19,Optimization of Decision-Making in Port Logistics Terminals: Using Analytic Hierarchy Process for the Case of Port of Thessaloniki,10.2478/ttj-2014-0022,"[{'author_name': 'Michael Gogas', 'author_slug': 'michael-gogas-KlOnr1', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Konstantinos Papoutsis', 'author_slug': 'konstantinos-papoutsis-lZ4aDk', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Eftihia Nathanail', 'author_slug': 'eftihia-nathanail-2WbZ5Y', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}]",Transport and Telecommunication Journal,,15,2014,Walter de Gruyter GmbH,4,255-268,"The management models pursued in logistics terminals determine their performance to a great extent. Terminals managed by public actors usually incorporate more social criteria into their decision-making processes. In addition, private management focuses on economic viability of the initiative. Decision-making is a complex process regardless the structure of management or the decision models useddue to the fact that a wide range of diverse criteria are embedded into this process. The objective of this paper it to determine a prioritization of a set of alternative options for investment projects which were suggested by port executives taking into account criteria and evaluation that have already validated by them. In order to perform the analysis a multi-criteria decisionmaking model was used: the Analytic Hierachy Process. The outcomes support a low-biased and efficient strategic planning through a balanced decision-making framework."
2022-01-27,Decision-making to switch your ERP system: empirical Japanese evidence,10.12821/ijispm060302,"[{'author_name': 'Tingting Huang', 'author_slug': 'tingting-huang-vZg6LV', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}]",International Journal of Information Systems and Project Management,IJISPM,6,2022,University of Minho,3,21-41,"A huge research gap in ERP life cycle, the Decline stage, remains. Not only limited empirical evidence is found to support the Decline stage, but also, the existence of this stage is not acknowledged by the majority. On the other hand, because that the Decline stage is short of theory and data support, organizations which are or will be at this stage have little help to deal with what might happen. This research aims at proposing a practical decision model for organizations facing ERP (Enterprise Resource Planning) switching/reversion. The process model of Rasmussen’s Cognitive Control of Decision Processes was adopted as the theory lens to construct the decision model. Based on the survey results from eighteen organizations, a descriptive model - A2O model - is proposed. This research fulfills the blank in the ERP life cycle, provides the empirical supports on exploring the critical issues, and enlightens vendors and consultants on product development and customer service."
2023-11-01,Development and Practical Application of Hybrid Decision-Making Model for Selection of Third-Party Logistics Service Providers,10.2478/ttj-2023-0035,"[{'author_name': 'Aleksandrs Kotlars', 'author_slug': 'Aleksandrs Kotlars', 'author_sequence_number': None, 'affiliation': None, 'affiliation_slug': None}]",Transport and Telecommunication Journal,,24,2023,Walter de Gruyter GmbH,4,443-458,"Abstract
               In this study a problematic of logistics service provider selection is discussed. Traditional decision-making techniques are functionally limited and must be adjusted. Modern approach must be based on contemporary tools and information. The aim of this study is to develop a modern, industry-oriented decision-making model for selection of strategic logistics service providers. Main tasks of this study include: to perform critical analysis and comparison of multiple-criteria decision-making methods; to adapt decision-making framework for specific needs of selection of third-party logistics service providers; to collect and analyze industry data related to procurement projects; to develop modern decision-making model for selection of logistics service providers; to perform practical application of developed decision-making model based on collected industry data. The key novelties of this study are developed methodology for collection of industry data for decision-making process, developed hybrid decision-making model for selection of third-party logistics service provider, as well as application of the model. As the result, there is developed decision-making model for selection of 3PL service providers that includes 6 steps."
2021-05-04,A Deeper Look at Autonomous Vehicle Ethics: An Integrative Ethical Decision-Making Framework to Explain Moral Pluralism,10.3389/frobt.2021.632394,"[{'author_name': 'Jimin Rhim', 'author_slug': 'jimin-rhim-nOYOWr', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Ji‐Hyun Lee', 'author_slug': 'ji-hyun-lee-gZ8eYJ', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Mo Chen', 'author_slug': 'mo-chen-j6jQld', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Angelica Lim', 'author_slug': 'angelica-lim-zbzkYE', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}]",Frontiers in Robotics and Ai,Front. Robot. AI,8,2021,Frontiers Media SA,,,"The autonomous vehicle (AV) is one of the first commercialized AI-embedded robots to make autonomous decisions. Despite technological advancements, unavoidable AV accidents that result in life-and-death consequences cannot be completely eliminated. The emerging social concern of how an AV should make ethical decisions during unavoidable accidents is referred to as the moral dilemma of AV, which has promoted heated discussions among various stakeholders. However, there are research gaps in explainable AV ethical decision-making processes that predict how AVs’ moral behaviors are made that are acceptable from the AV users’ perspectives. This study addresses the key question: What factors affect ethical behavioral intentions in the AV moral dilemma? To answer this question, this study draws theories from multidisciplinary research fields to propose the “Integrative ethical decision-making framework for the AV moral dilemma.” The framework includes four interdependent ethical decision-making stages: AV moral dilemma issue framing, intuitive moral reasoning, rational moral reasoning, and ethical behavioral intention making. Further, the framework includes variables (e.g., perceived moral intensity, individual factors, and personal moral philosophies) that influence the ethical decision-making process. For instance, the framework explains that AV users from Eastern cultures will tend to endorse a situationist ethics position (high idealism and high relativism), which views that ethical decisions are relative to context, compared to AV users from Western cultures. This proposition is derived from the link between individual factors and personal moral philosophy. Moreover, the framework proposes a dual-process theory, which explains that both intuitive and rational moral reasoning are integral processes of ethical decision-making during the AV moral dilemma. Further, this framework describes that ethical behavioral intentions that lead to decisions in the AV moral dilemma are not fixed, but are based on how an individual perceives the seriousness of the situation, which is shaped by their personal moral philosophy. This framework provides a step-by-step explanation of how pluralistic ethical decision-making occurs, reducing the abstractness of AV moral reasoning processes."
2021-05-24,Adaptive Cognitive Mechanisms to Maintain Calibrated Trust and Reliance in Automation,10.3389/frobt.2021.652776,"[{'author_name': 'Christian Lebière', 'author_slug': 'christian-lebiere-ejYaQZ', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Leslie M. Blaha', 'author_slug': 'leslie-m-blaha-lZxNRk', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Corey K. Fallon', 'author_slug': 'corey-k-fallon-Zx8aV2', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Brett Jefferson', 'author_slug': 'brett-jefferson-3Kvryy', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}]",Frontiers in Robotics and Ai,Front. Robot. AI,8,2021,Frontiers Media SA,,,"Trust calibration for a human–machine team is the process by which a human adjusts their expectations of the automation’s reliability and trustworthiness; adaptive support for trust calibration is needed to engender appropriate reliance on automation. Herein, we leverage an instance-based learning ACT-R cognitive model of decisions to obtain and rely on an automated assistant for visual search in a UAV interface. This cognitive model matches well with the human predictive power statistics measuring reliance decisions; we obtain from the model an internal estimate of automation reliability that mirrors human subjective ratings. The model is able to predict the effect of various potential disruptions, such as environmental changes or particular classes of adversarial intrusions on human trust in automation. Finally, we consider the use of model predictions to improve automation transparency that account for human cognitive biases in order to optimize the bidirectional interaction between human and machine through supporting trust calibration. The implications of our findings for the design of reliable and trustworthy automation are discussed."
2011-10-01,Demand Forecasting Behavior: System Neglect and Change Detection,10.1287/mnsc.1110.1382,"[{'author_name': 'Mirko Kremer', 'author_slug': 'mirko-kremer-ePK8g6', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Brent Moritz', 'author_slug': 'brent-moritz-ANZXK2', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Enno Siemsen', 'author_slug': 'enno-siemsen-D13rVd', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}]",Management Science,Management Science,57,2011,Institute for Operations Research and the Management Sciences (INFORMS),10,1827-1843,"W e analyze how individuals make forecasts based on time-series data. Using a controlled laboratory experiment, we find that forecasting behavior systematically deviates from normative predictions: Forecasters overreact to forecast errors in relatively stable environments, but underreact to errors in relatively unstable environments. The performance loss that is due to such systematic judgment biases is larger in stable than in unstable environments."
