date,title,doi,authors,journal,short_journal,volume,year,publisher,issue,page,abstract
2024-02-01,Predicting Autonomous Driving Behavior through Human Factor Considerations in Safety-Critical Events,10.3390/smartcities7010018,"[{'author_name': 'Jamal Raiyn', 'author_slug': 'Jamal Raiyn', 'author_sequence_number': None, 'affiliation': None, 'affiliation_slug': None}]",Smart Cities,Smart Cities,7,2024,MDPI AG,1,460-474,"This paper investigates the ability of autonomous driving systems to predict outcomes by considering human factors like gender, age, and driving experience, particularly in the context of safety-critical events. The primary objective is to equip autonomous vehicles with the capacity to make plausible deductions, handle conflicting data, and adjust their responses in real-time during safety-critical situations. A foundational dataset, which encompasses various driving scenarios such as lane changes, merging, and navigating complex intersections, is employed to enable vehicles to exhibit appropriate behavior and make sound decisions in critical safety events. The deep learning model incorporates personalized cognitive agents for each driver, considering their distinct preferences, characteristics, and requirements. This personalized approach aims to enhance the safety and efficiency of autonomous driving, contributing to the ongoing development of intelligent transportation systems. The efforts made contribute to advancements in safety, efficiency, and overall performance within autonomous driving systems. To describe the causal relationship between external factors like weather conditions and human factors, and safety-critical driver behaviors, various data mining techniques can be applied. One commonly used method is regression analysis. Additionally, correlation analysis is employed to reveal relationships between different factors, helping to identify the strength and direction of their impact on safety-critical driver behavior."
2022-03-09,A Survey of Adaptive Multi-Agent Networks and Their Applications in Smart Cities,10.3390/smartcities5010019,"[{'author_name': 'Nasim Nezamoddini', 'author_slug': 'nasim-nezamoddini-g1lLgn', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Amirhosein Gholami', 'author_slug': 'amirhosein-gholami-JazYJG', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}]",Smart Cities,Smart Cities,5,2022,MDPI AG,1,318-347,"The world is moving toward a new connected world in which millions of intelligent processing devices communicate with each other to provide services in transportation, telecommunication, and power grids in the future’s smart cities. Distributed computing is considered one of the efficient platforms for processing and management of massive amounts of data collected by smart devices. This can be implemented by utilizing multi-agent systems (MASs) with multiple autonomous computational entities by memory and computation capabilities and the possibility of message-passing between them. These systems provide a dynamic and self-adaptive platform for managing distributed large-scale systems, such as the Internet-of-Things (IoTs). Despite, the potential applicability of MASs in smart cities, very few practical systems have been deployed using agent-oriented systems. This research surveys the existing techniques presented in the literature that can be utilized for implementing adaptive multi-agent networks in smart cities. The related literature is categorized based on the steps of designing and controlling these adaptive systems. These steps cover the techniques required to define, monitor, plan, and evaluate the performance of an autonomous MAS. At the end, the challenges and barriers for the utilization of these systems in current smart cities, and insights and directions for future research in this domain, are presented."
2022-02-28,Supporting Artificial Social Intelligence With Theory of Mind,10.3389/frai.2022.750763,"[{'author_name': 'Jessica Williams', 'author_slug': 'jessica-williams-zRgj69', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Stephen M. Fiore', 'author_slug': 'stephen-m-fiore-kegLmL', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Florian Jentsch', 'author_slug': 'florian-jentsch-YZRNML', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}]",Frontiers in Artificial Intelligence,Front. Artif. Intell.,5,2022,Frontiers Media SA,,,"In this paper, we discuss the development of artificial theory of mind as foundational to an agent's ability to collaborate with human team members. Agents imbued with artificial social intelligence will require various capabilities to gather the social data needed to inform an artificial theory of mind of their human counterparts. We draw from social signals theorizing and discuss a framework to guide consideration of core features of artificial social intelligence. We discuss how human social intelligence, and the development of theory of mind, can contribute to the development of artificial social intelligence by forming a foundation on which to help agents model, interpret and predict the behaviors and mental states of humans to support human-agent interaction. Artificial social intelligence will need the processing capabilities to perceive, interpret, and generate combinations of social cues to operate within a human-agent team. Artificial Theory of Mind affords a structure by which a socially intelligent agent could be imbued with the ability to model their human counterparts and engage in effective human-agent interaction. Further, modeling Artificial Theory of Mind can be used by an ASI to support transparent communication with humans, improving trust in agents, so that they may better predict future system behavior based on their understanding of and support trust in artificial socially intelligent agents."
2021-07-08,"Inferring Trust From Users’ Behaviours; Agents’ Predictability Positively Affects Trust, Task Performance and Cognitive Load in Human-Agent Real-Time Collaboration",10.3389/frobt.2021.642201,"[{'author_name': 'Sylvain Daronnat', 'author_slug': 'sylvain-daronnat-vdGx5W', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Leif Azzopardi', 'author_slug': 'leif-azzopardi-ZGmGDn', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Martin Halvey', 'author_slug': 'martin-halvey-lZa58b', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Mateusz Dubiel', 'author_slug': 'mateusz-dubiel-9YvMA', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}]",Frontiers in Robotics and Ai,Front. Robot. AI,8,2021,Frontiers Media SA,,,"Collaborative virtual agents help human operators to perform tasks in real-time. For this collaboration to be effective, human operators must appropriately trust the agent(s) they are interacting with. Multiple factors influence trust, such as the context of interaction, prior experiences with automated systems and the quality of the help offered by agents in terms of its transparency and performance. Most of the literature on trust in automation identified the performance of the agent as a key factor influencing trust. However, other work has shown that the behavior of the agent, type of the agent’s errors, and predictability of the agent’s actions can influence the likelihood of the user’s reliance on the agent and efficiency of tasks completion. Our work focuses on how agents’ predictability affects cognitive load, performance and users’ trust in a real-time human-agent collaborative task. We used an interactive aiming task where participants had to collaborate with different agents that varied in terms of their predictability and performance. This setup uses behavioral information (such as task performance and reliance on the agent) as well as standardized survey instruments to estimate participants’ reported trust in the agent, cognitive load and perception of task difficulty. Thirty participants took part in our lab-based study. Our results showed that agents with more predictable behaviors have a more positive impact on task performance, reliance and trust while reducing cognitive workload. In addition, we investigated the human-agent trust relationship by creating models that could predict participants’ trust ratings using interaction data. We found that we could reliably estimate participants’ reported trust in the agents using information related to performance, task difficulty and reliance. This study provides insights on behavioral factors that are the most meaningful to anticipate complacent or distrusting attitudes toward automation. With this work, we seek to pave the way for the development of trust-aware agents capable of responding more appropriately to users by being able to monitor components of the human-agent relationships that are the most salient for trust calibration."
2023-07-28,Counterfactual learning in enhancing resilience in autonomous agent systems,10.3389/frai.2023.1212336,"[{'author_name': 'Dilini Samarasinghe', 'author_slug': 'dilini-samarasinghe-PVjdX0', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}]",Frontiers in Artificial Intelligence,Front. Artif. Intell.,6,2023,Frontiers Media SA,,,"Resilience in autonomous agent systems is about having the capacity to anticipate, respond to, adapt to, and recover from adverse and dynamic conditions in complex environments. It is associated with the intelligence possessed by the agents to preserve the functionality or to minimize the impact on functionality through a transformation, reconfiguration, or expansion performed across the system. Enhancing the resilience of systems could pave way toward higher autonomy allowing them to tackle intricate dynamic problems. The state-of-the-art systems have mostly focussed on improving the redundancy of the system, adopting decentralized control architectures, and utilizing distributed sensing capabilities. While machine learning approaches for efficient distribution and allocation of skills and tasks have enhanced the potential of these systems, they are still limited when presented with dynamic environments. To move beyond the current limitations, this paper advocates incorporating counterfactual learning models for agents to enable them with the ability to predict possible future conditions and adjust their behavior. Counterfactual learning is a topic that has recently been gaining attention as a model-agnostic and post-hoc technique to improve explainability in machine learning models. Using counterfactual causality can also help gain insights into unforeseen circumstances and make inferences about the probability of desired outcomes. We propose that this can be used in agent systems as a means to guide and prepare them to cope with unanticipated environmental conditions. This supplementary support for adaptation can enable the design of more intelligent and complex autonomous agent systems to address the multifaceted characteristics of real-world problem domains."
2018-11-30,Adaptive Online Fault Diagnosis in Autonomous Robot Swarms,10.3389/frobt.2018.00131,"[{'author_name': 'James O’Keeffe', 'author_slug': 'james-o-keeffe-Vank4E', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Danesh Tarapore', 'author_slug': 'danesh-tarapore-g1bGvQ', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Alan G. Millard', 'author_slug': 'alan-g-millard-JWE31E', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Jon Timmis', 'author_slug': 'jon-timmis-RV9p53', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}]",Frontiers in Robotics and Ai,Front. Robot. AI,5,2018,Frontiers Media SA,,,"Previous work has shown that robot swarms are not always tolerant to the failure of individual robots, particularly those that have only partially failed and continue to contribute to collective behaviors. A case has been made for an active approach to fault tolerance in swarm robotic systems, whereby the swarm can identify and resolve faults that occur during operation. Existing approaches to active fault tolerance in swarms have so far omitted fault diagnosis, however we propose that diagnosis is a feature of active fault tolerance that is necessary if swarms are to obtain long-term autonomy. This paper presents a novel method for fault diagnosis that attempts to imitate some of the observed functions of natural immune system. The results of our simulated experiments show that our system is flexible, scalable, and improves swarm tolerance to various electro-mechanical faults in the cases examined."
2020-09-25,Internet of Robotic Things Intelligent Connectivity and Platforms,10.3389/frobt.2020.00104,"[{'author_name': 'Ovidiu Vermesan', 'author_slug': 'ovidiu-vermesan-Nly8lY', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Roy Bahr', 'author_slug': 'roy-bahr-YD833L', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Marco Ottella', 'author_slug': 'marco-ottella-mJJOe', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Martin M. Serrano', 'author_slug': 'martin-m-serrano-gZVV21', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Tore Karlsen', 'author_slug': 'tore-karlsen-b85ZKp', 'author_sequence_number': '5', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Terje Wahlstrøm', 'author_slug': 'terje-wahlstrom-jXxWyj', 'author_sequence_number': '6', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Hans Erik Sand', 'author_slug': 'hans-erik-sand-vdP6A2', 'author_sequence_number': '7', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Meghashyam Ashwathnarayan', 'author_slug': 'meghashyam-ashwathnarayan-G25GVb', 'author_sequence_number': '8', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Micaela Troglia Gamba', 'author_slug': 'micaela-troglia-gamba-WG42l5', 'author_sequence_number': '9', 'affiliation': None, 'affiliation_slug': None}]",Frontiers in Robotics and Ai,Front. Robot. AI,7,2020,Frontiers Media SA,,,"The Internet of Things (IoT) and Industrial IoT (IIoT) have developed rapidly in the past few years, as both the Internet and ""things"" have evolved significantly. ""Things"" now range from simple Radio Frequency Identification (RFID) devices to smart wireless sensors, intelligent wireless sensors and actuators, robotic things, and autonomous vehicles operating in consumer, business, and industrial environments. The emergence of ""intelligent things"" (static or mobile) in collaborative autonomous fleets requires new architectures, connectivity paradigms, trustworthiness frameworks, and platforms for the integration of applications across different business and industrial domains. These new applications accelerate the development of autonomous system design paradigms and the proliferation of the Internet of Robotic Things (IoRT). In IoRT, collaborative robotic things can communicate with other things, learn autonomously, interact safely with the environment, humans and other things, and gain qualities like self-maintenance, self-awareness, self-healing, and fail-operational behavior. IoRT applications can make use of the individual, collaborative, and collective intelligence of robotic things, as well as information from the infrastructure and operating context to plan, implement and accomplish tasks under different environmental conditions and uncertainties. The continuous, real-time interaction with the environment makes perception, location, communication, cognition, computation, connectivity, propulsion, and integration of federated IoRT and digital platforms important components of new-generation IoRT applications. This paper reviews the taxonomy of the IoRT, emphasizing the IoRT intelligent connectivity, architectures, interoperability, and trustworthiness framework, and surveys the technologies that enable the application of the IoRT across different domains to perform missions more efficiently, productively, and completely. The aim is to provide a novel perspective on the IoRT that involves communication among robotic things and humans and highlights the convergence of several technologies and interactions between different taxonomies used in the literature."
2020-11-02,Editorial: Designing Self-Organization in the Physical Realm,10.3389/frobt.2020.597859,"[{'author_name': 'Heiko Hamann', 'author_slug': 'heiko-hamann-ej9RJ2', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Melanie Schranz', 'author_slug': 'melanie-schranz-4YEX23', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Wilfried Elmenreich', 'author_slug': 'wilfried-elmenreich-keRj5w', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Vito Trianni', 'author_slug': 'vito-trianni-2NrKVx', 'author_sequence_number': '4', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Carlo Pinciroli', 'author_slug': 'carlo-pinciroli-n6NwRX', 'author_sequence_number': '5', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Nicolas Bredeche', 'author_slug': 'nicolas-bredeche-Me6md', 'author_sequence_number': '6', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Eliseo Ferrante', 'author_slug': 'eliseo-ferrante-D1LRgp', 'author_sequence_number': '7', 'affiliation': None, 'affiliation_slug': None}]",Frontiers in Robotics and Ai,Front. Robot. AI,7,2020,Frontiers Media SA,,,"Editorial on the Research Topic Designing Self-Organization in the Physical Realm The design and deployment of decentralized systems can benefit from self-organization as it introduces key features, such as resilience, scalability, and adaptivity to dynamic environments. However, whenever self-organization was demonstrated on physical platforms (e.g., robot swarms), this was performed mostly within controlled laboratory conditions. The real world comes with severe requirements, calling for robust design methodologies, their standardization, and validation via benchmarking toolsets. With this Research Topic, we collect, benchmark, and survey novel approaches to push self-organization toward real-world applications, focusing on embodied artificial systems, such as multi-robot, cyber-physical, and socio-technical systems. We start with six perspective and survey papers that give a good overview of the state of the art and challenges of real-world implementations. Gershenson studies the complexity of cyber-physical systems. After reviewing basic concepts that are useful to design self-organizing systems, he introduces approaches to implement self-organization in cyber-physical systems. Gershenson reviews three case studies from different domains. Crowd control is related to a passive control approach using signs to mediate passenger boarding and descent in Mexico City Metro. In a traffic light case study, traffic lights and vehicles interact closely as agents, resulting in a network of streets and crossings with self-organized coordination of traffic flows. The third case study is related to public transport and addresses the equal headway instability. Trains use bio-inspired pheromone systems to keep equal distance to the vehicles in front and behind. The result is a flexible system where trains can quickly adapt and respond to service delays. Gershenson provides an outlook for cyber-physical and cyber-social systems controlled by guided self-organization. Based on the above-mentioned benefits of self-organization the motivation is strong to apply swarm robotics in industrial applications. However, many industrial applications still rely on centralized control. In cases where a multi-robot solution is employed, the main idea of swarm robotics of distributed decision-making is often not implemented. Schranz et al. provide a collection and categorization of swarm robotic behaviors. The paper gives a comprehensive overview of research platforms and industrial projects and products, separated into terrestrial, aerial, aquatic, and outer space. The authors identify several open issues including dependability, emergent characteristics, security and safety, and communication as hindrances for the implementation of fully distributed autonomous swarm systems."
2013-01-01,Agent-Based Dispatching Enables Autonomous Groupage Traffic,10.2478/jaiscr-2014-0003,"[{'author_name': 'Max Gath', 'author_slug': 'max-gath-VKNkjW', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Stefan Edelkamp', 'author_slug': 'stefan-edelkamp-mOp0Oe', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Otthein Herzog', 'author_slug': 'otthein-herzog-VOQPZ', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}]",Journal of Artificial Intelligence and Soft Computing Research,,3,2013,Walter de Gruyter GmbH,1,27-40,"Abstract
				 The complexity and dynamics in groupage traffic require flexible, efficient, and adaptive planning and control processes. The general problem of allocating orders to vehicles can be mapped into the Vehicle Routing Problem (VRP). However, in practical applications additional requirements complicate the dispatching processes and require a proactive and reactive system behavior. To enable automated dispatching processes, this article presents a multiagent system where the decision making is shifted to autonomous, interacting, intelligent agents. Beside the communication protocols and the agent architecture, the focus is on the individual decision making of the agents which meets the specific requirements in groupage traffic. To evaluate the approach we apply multiagent-based simulation and model several scenarios of real world infrastructures with orders provided by our industrial partner. Moreover, a case study is conducted which covers the autonomous groupage traffic in the current processes of our industrial parter. The results reveal that agent-based dispatching meets the sophisticated requirements of groupage traffic. Furthermore, the decision making supports the combination of pickup and delivery tours efficiently while satisfying logistic request priorities, time windows, and capacity constraints."
2019-07-09,Goal Recognition Design in Deterministic Environments,10.1613/jair.1.11551,"[{'author_name': 'Sarah Keren', 'author_slug': 'sarah-keren-X4x9aw', 'author_sequence_number': '1', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Avigdor Gal', 'author_slug': 'avigdor-gal-ejrRv6', 'author_sequence_number': '2', 'affiliation': None, 'affiliation_slug': None}, {'author_name': 'Erez Karpas', 'author_slug': 'erez-karpas-wmdrAe', 'author_sequence_number': '3', 'affiliation': None, 'affiliation_slug': None}]",Journal of Artificial Intelligence Research,jair,65,2019,AI Access Foundation,,209-269,"Goal recognition design (GRD) facilitates understanding the goals of acting agents through the analysis and redesign of goal recognition models, thus offering a solution for assessing and minimizing the maximal progress of any agent in the model before goal recognition is guaranteed. In a nutshell, given a model of a domain and a set of possible goals, a solution to a GRD problem determines (1) the extent to which actions performed by an agent within the model reveal the agent’s objective; and (2) how best to modify the model so that the objective of an agent can be detected as early as possible. This approach is relevant to any domain in which rapid goal recognition is essential and the model design can be controlled. Applications include intrusion detection, assisted cognition, computer games, and human-robot collaboration.&#x0D;
 A GRD problem has two components: the analyzed goal recognition setting, and a design model specifying the possible ways the environment in which agents act can be modified so as to facilitate recognition. This work formulates a general framework for GRD in deterministic and partially observable environments, and offers a toolbox of solutions for evaluating and optimizing model quality for various settings. &#x0D;
For the purpose of evaluation we suggest the worst case distinctiveness (WCD) measure, which represents the maximal cost of a path an agent may follow before its goal can be inferred by a goal recognition system. We offer novel compilations to classical planning for calculating WCD in settings where agents are bounded-suboptimal. We then suggest methods for minimizing WCD by searching for an optimal redesign strategy within the space of possible modifications, and using pruning to increase efficiency. We support our approach with an empirical evaluation that measures WCD in a variety of GRD settings and tests the efficiency of our compilation-based methods for computing it. We also examine the effectiveness of reducing WCD via redesign and the performance gain brought about by our proposed pruning strategy."
